Civ_Draft,draft_host,draft_guest,Preset,player,executingPlayer,actionType,Civ,isRandomlyChosen,offset,action,PickNo,FirstPick,GlobalBan,Picker
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Hindustanis,FALSE,189776,NA,6,0,0,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Byzantines,FALSE,190511,NA,7,0,0,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Franks,FALSE,218098,NA,8,0,0,Mihai06
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Huns,FALSE,219525,NA,9,0,0,Mihai06
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Persians,FALSE,244574,NA,10,0,0,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Vikings,FALSE,245328,NA,11,0,0,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Saracens,FALSE,274855,NA,12,0,0,Mihai06
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Vikings,FALSE,8105,NA,1,0,1,Bad Koala
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Armenians,FALSE,22494,NA,2,0,1,Fedex
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Cumans,FALSE,36522,NA,3,0,1,Fedex
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Ethiopians,FALSE,68157,NA,4,0,1,Bad Koala
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Aztecs,FALSE,75059,NA,5,0,1,Bad Koala
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Georgians,FALSE,94220,NA,6,0,1,Fedex
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Khmer,FALSE,105582,NA,1,1,0,Bad Koala
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Chinese,FALSE,110102,NA,2,1,0,Fedex
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Italians,FALSE,118610,NA,3,0,0,Fedex
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Hindustanis,FALSE,149357,NA,4,0,0,Bad Koala
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Byzantines,FALSE,167314,NA,5,0,0,Bad Koala
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Malay,FALSE,196740,NA,6,0,0,Fedex
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Bohemians,FALSE,199241,NA,7,0,0,Fedex
brnti,koala,Fedex,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Saracens,FALSE,230531,NA,8,0,0,Bad Koala
